company,website,contact,email,phone,telegram,model,fintech_experience,priority,fit_reason,contact_source,channel,sent_at,from_address,reply,next_contact,followup1_date,followup2_date,status,comment
InteractiveCenter / IC Premium,https://www.interactivecenter.ru/,Отдел продаж / партнёрства,welcome@ic.gl,+373 775 35 000 / +7 499 700-09-70,,CPA / % от выручки (IC Premium — партнёрский отдел продаж),"Банки и МФО (cross-sale, исходящие кампании)",A,Прямо декларирует оплату за результат — % от выручки или CPA; есть IC Premium как аутсорс партнёрского отдела продаж; опыт с банками/МФО.,https://www.interactivecenter.ru/contacts/ + /solutions/ic-premium/,email,,rdv@quantumlabs.ru,,,,,предложение подготовлено,Final copy v9.5 — personalize opener only. Ready for rdv@ send.
Prodagi.PRO,https://prodagi.pro/,Отдел продаж,sales@prodagi.pro,+7 495 008-47-35,,Оплата за результат / аутсорс отдела продаж (тест + результат),Кейсы в т.ч. банковские гарантии (холодный обзвон),A,Позиционируют отдел продаж с оплатой за результат; есть опыт в финансовых B2B-темах (банковские гарантии).,https://prodagi.pro/kontakty/ (sales@ / mail@),email,,rdv@quantumlabs.ru,,,,,предложение подготовлено,Final copy v9.5 — personalize opener only. Ready for rdv@ send.
RKO Group,https://rko-group.ru/,Партнёрский / агентский отдел,support@rko-group.ru,,https://t.me/rkogroup,CPA / агентские продажи банковских продуктов,"РКО и банковские продукты (Альфа, Точка и др.)",A,Агентская платформа по банковским продуктам; привыкли к performance-оплате; гипотеза — сильнее обычного КЦ для нашего продукта.,"https://rko-group.ru/ (support@, aa@, t.me/rkogroup)",email,,rdv@quantumlabs.ru,,,,,предложение подготовлено,Final copy v9.5 — personalize opener only. Ready for rdv@ send.
E-RKO,https://e-rko.ru/,Партнёрская поддержка,support@e-rko.ru,+7 925 418-21-28,,Агентские/партнёрские программы банков (заявки на продукты),"РКО и банковские продукты, 20+ банков",A,Сеть банковских агентов с ЛК и статусами заявок — близко к нашей модели кабинета и атрибуции.,https://e-rko.ru/ (телефон + support@ из публичных материалов сети),email,,rdv@quantumlabs.ru,,,,,предложение подготовлено,Final copy v9.5 — personalize opener only. Ready for rdv@ send.
FINLEO,https://finleo.ru/,Отдел по работе с агентами,info@finleo.ru,8 800 100-76-78,https://t.me/Finleo_marketplace_bot,Агентское вознаграждение (до % от сделки) по банковским гарантиям и финпродуктам,"Банковские гарантии, страхование, финмаркетплейс",A,Сильная агентская сеть в B2B-финансах; уже думают категориями агентского % и ЛК.,https://finleo.ru/contacts/ + marketplace.finleo.ru,email,,rdv@quantumlabs.ru,,,,,предложение подготовлено,Final copy v9.5 — personalize opener only. Ready for rdv@ send.
CallTell,https://calltell.ru/,Отдел продаж,info@calltell.ru,+7 499 490-11-11 / +7 812 407-11-11,,Аутсорс КЦ: входящие + активные продажи (обычно фикс/проект),Не заявлено явно как ядро,B,Полноценный аутсорсинговый КЦ с функцией продаж; можно предложить спецагенскую модель поверх зала.,https://calltell.ru/ footer,email,,rdv@quantumlabs.ru,,,,,предложение подготовлено,Final copy v9.5 — personalize opener only. Ready for rdv@ send.
Телеконтакт,https://telecontact.ru/,Коммерческий отдел,tele@telecontact.ru,8 800 511-47-47 / +7 495 744-55-43,,"Крупный аутсорс КЦ (SLA/фикс/проект), B2B и финансы в портфеле",Работа с крупным бизнесом и финсектором (по позиционированию),B,"Крупный федеральный КЦ; интересны как партнёр с сильной инфраструктурой, если согласятся на агентскую модель для отдельной команды.",https://telecontact.ru/contacts,email,,rdv@quantumlabs.ru,,,,,предложение подготовлено,Final copy v9.5 — personalize opener only. Ready for rdv@ send.
OCC Group,https://occ-group.ru/,Отдел продаж,zakaz@occ-group.ru,8 800 505-59-81 / +7 812 389-22-59,https://t.me/occ_group,"Аутсорс КЦ: горячая линия, телемаркетинг, исходящие (проектная оплата)",Финансы в отраслевом портфеле,B,Есть исходящие продажи и опыт в финансах; классический B-кандидат на переговоры про агентскую модель.,https://occ-group.ru/contacts,email,,rdv@quantumlabs.ru,,,,,предложение подготовлено,Final copy v9.5 — personalize opener only. Ready for rdv@ send.
Easy Calls,https://easycalls.ru/,Отдел продаж,info@easycalls.ru,+7 812 409-91-81,,Удалённые продажи / КЦ,Не подтверждено публично,B,Позиционирование вокруг удалённых продаж — можно обсудить RevShare-пилот.,https://easycalls.ru/,email,,rdv@quantumlabs.ru,,,,,предложение подготовлено,Final copy v9.5 — personalize opener only. Ready for rdv@ send.
Office2B,https://office2b.ru/,Контакты сайта,contact@office2b.ru,+7 985 101-58-00,,B2B-услуги / продажи (уточнять на звонке),Уточнять,B,В shortlist; публичный корпоративный email; нужна квалификация модели оплаты.,https://office2b.ru/,email,,rdv@quantumlabs.ru,,,,,предложение подготовлено,Final copy v9.5 — personalize opener only. Ready for rdv@ send.
SalesOutsourcing,https://salesoutsourcing.ru/,Контакты сайта,8792547@mail.ru,+7 969 205-83-25,,Аутсорсинг продаж (уточнять),Уточнять,B,"Тематический домен под аутсорс продаж; email с сайта (mail.ru) — использовать осторожно, зафиксирован как официально опубликованный.",https://salesoutsourcing.ru/,email,,rdv@quantumlabs.ru,,,,,предложение подготовлено,Final copy v9.5 — personalize opener only. Ready for rdv@ send.
Neuron Group,https://neuron-group.ru/,Отдел продаж,info@neuron-group.ru,+7 951 666-68-95,https://t.me/ArturKupriyanov,Аутсорсинг отдела продаж / РОП,Уточнять,B,Строят внешние отделы продаж; потенциально готовы вести продукт за результат.,https://neuron-group.ru/,email,,rdv@quantumlabs.ru,,,,,предложение подготовлено,Final copy v9.5 — personalize opener only. Ready for rdv@ send.
LeadMachine,https://leadmachine.ru/,Отдел по работе с клиентами,moreleads@leadmachine.ru,,https://t.me/leadmachine,Performance / лидогенерация,Уточнять,B,Performance-ориентация; можно предложить апгрейд с CPL на RevShare от оборота.,https://leadmachine.ru/,email,,rdv@quantumlabs.ru,,,,,предложение подготовлено,Final copy v9.5 — personalize opener only. Ready for rdv@ send.
CallPlex,https://callplex.ru/,Отдел продаж,sales@callplex.ru,,,КЦ / телемаркетинг,Уточнять,B,Доп. поиск: контакт-центр с публичным sales@,https://callplex.ru/,email,,rdv@quantumlabs.ru,,,,,предложение подготовлено,Final copy v9.5 — personalize opener only. Ready for rdv@ send.
RocketCall,https://rocketcall.ru/,Отдел продаж,info@rocketcall.ru,+7 495 151-51-49,https://t.me/RocketCall_Bot,Оплата за разговоры с ЛПР / лиды (не полный close),Не ядро,C,"Performance по ЛПР/лидам, но модель ближе к продаже контактов, чем к агентскому RevShare. Резерв / низкий приоритет.",https://rocketcall.ru/,email,,rdv@quantumlabs.ru,,,,,предложение подготовлено,Final copy v9.5 — personalize opener only. Ready for rdv@ send.
